x,Curve1
-0.0295367,0
-0.0271236,0
-0.0247104,0
-0.0222973,0
-0.0202703,3.586
-0.0186293,1.025
-0.0167954,4.611
-0.0149614,10.246
-0.013417,18.955
-0.0116795,39.959
-0.0110039,51.23
-0.0106178,63.012
-0.0100386,74.795
-0.0092664,93.238
-0.0090734,106.045
-0.0089768,118.852
-0.0086873,131.148
-0.0083977,147.541
-0.0083012,142.93
-0.0080116,159.836
-0.0076255,224.385
-0.0072394,230.533
-0.0070463,243.34
-0.0066602,267.93
-0.0065637,280.738
-0.0062741,293.033
-0.0059846,305.328
-0.005888,318.135
-0.0057915,327.869
-0.0055019,336.578
-0.0052124,377.561
-0.0051158,361.168
-0.0049228,389.344
-0.0048263,430.84
-0.0041506,437.5
-0.0039575,471.311
-0.0037645,476.947
-0.0035714,492.828
-0.0025097,499.488
-0.0022201,496.414
-0.0016409,484.119
-0.0014479,476.947
-0.0008687,465.676
-0.0007722,452.869
0.0001931,349.898
0.0004826,337.602
0.0007722,325.307
0.0009653,290.984
0.0012548,278.689
0.0015444,265.881
0.002027,226.434
0.0022201,213.627
0.0027992,184.426
0.003668,173.668
0.0041506,150.615
0.0050193,138.32
0.0053089,156.25
0.0055019,169.057
0.0061776,179.816
0.0063707,183.914
0.0068533,195.697
0.0070463,207.992
0.0072394,220.799
0.0079151,279.713
0.0081081,292.52
0.0083012,304.816
0.0087838,317.111
0.0089768,370.389
0.0093629,382.684
0.0096525,394.98
0.009749,433.402
0.0103282,536.885
0.0104247,549.693
0.0105212,481.557
0.0107143,494.365
0.0108108,507.172
0.0112934,548.156
0.01139,560.963
0.011583,576.844
0.0125483,585.553
0.0140927,579.406
0.0155405,501.025
0.0157336,488.217
0.0164093,454.918
0.0169884,370.902
0.017471,337.09
0.0176641,308.402
0.0181467,296.619
0.0182432,283.811
0.0183398,258.709
0.0185328,245.902
0.0194981,235.143
0.0203668,225.922
0.0218147,221.824
0.0220077,226.434
0.0222008,238.73
0.022973,248.975
0.0232625,271.516
0.0238417,283.299
0.0241313,319.16
0.0247104,330.43
0.0252896,405.225
0.0256757,412.398
0.0259653,424.693
0.0263514,436.988
0.0266409,449.283
0.0271236,471.824
0.0276062,483.607
0.0280888,494.365
0.0283784,508.709
0.0287645,519.467
0.0296332,521.516
0.0305019,527.152
0.030695,483.094
0.0309846,477.971
0.0312741,465.676
0.0313707,452.869
0.0319498,419.057
0.032529,375.512
0.032722,362.705
0.0333977,327.869
0.0334942,315.061
0.0336873,302.766
0.0338803,290.471
0.0341699,267.93
0.0349421,256.66
0.0356178,245.389
0.0359073,246.926
0.0368726,256.148
0.0374517,243.852
0.0385135,242.828
0.0387066,255.635
0.0393822,266.393
0.0400579,277.152
0.0406371,288.934
0.0407336,301.742
0.0416023,326.844
0.0416988,339.652
0.0417954,352.459
0.0423745,364.242
0.0426641,377.049
0.0432432,383.709
0.044112,393.443
0.0448842,402.664
0.0450772,390.369
0.0464286,383.709
0.0469112,363.73
0.0472973,351.434
0.0475869,339.139
0.0478764,326.844
0.0484556,309.939
0.0488417,256.148
0.0497104,273.053
0.0503861,236.68
0.0509653,225.41
0.0535714,209.529
0.0549228,211.578
0.0551158,223.873
0.0554054,237.193
0.0562741,247.951
0.0571429,259.221
0.0578185,270.492
0.0581081,282.787
0.0593629,282.275
0.0599421,275.615
0.0605212,302.766
0.0616795,298.668
0.0617761,278.689
0.0625483,267.418
0.0629344,260.246
0.0630309,247.439
0.0638031,236.68
0.0646718,225.922
0.0649614,213.627
0.065444,197.234
0.0662162,199.283
0.0669884,188.525
0.067278,176.23
0.0686293,173.668
0.0694015,166.496
0.0697876,177.766
0.0706564,167.52
0.0721042,182.889
0.0728764,193.135
0.0737452,193.135
0.0754826,192.111
0.0757722,204.406
0.0771236,197.746
0.0778958,201.332
0.0784749,189.549
0.0791506,182.889
0.0795367,170.594
0.0800193,158.811
0.0805985,150.102
0.0810811,155.225
0.0823359,152.152
0.0826255,140.369
0.0840734,136.783
0.0851351,129.611
0.086583,132.172
0.0872587,120.389
0.0873552,129.098
0.0882239,138.832
0.0883205,129.098
0.0897683,132.684
0.0910232,130.123
0.0918919,141.393
0.0926641,143.955
0.0934363,132.172
0.0938224,120.389
0.0945946,132.172
0.0956564,126.537
0.0970077,118.852
